alex排名	域名
2749	startnow.com@ns1.zoneedit.com
2757	e1.ru@ns1.mplik.ru
2760	unicredit.it@dns4.gruppocredit.it
2765	pingdom.com@dns2.pingdom.com
2773	eluniversal.com.mx@dns1.el-universal.com.mx
2780	weightwatchers.com@ns3.weightwatchers.com
2789	olx.pt@ns1.fixeads.com
2796	intellicast.com@and-ns1.wsi.com
2806	pornup.me@ns1.vid2c.com
2816	adreactor.com@ns2.adreactor.com
2835	porn-wanted.com@ns4.porn-wanted.com
2857	pornper.com@ns1.vid2c.com
2865	haber365.com@ns1.ngdijital.net
2876	dstv.com@ns3.dstvo.com
2904	hujiang.com@ns3.hjdns.net
2909	wenxuecity.com@ns3.worldxclub.com
2911	gameninja.com@ns1.gameninja.com
2947	seoquake.com@ns3.seoquake.com
2952	peoplesmart.com@ns2.svcolo.com
2964	diigo.com@ns18.zoneedit.com
2981	doodle.com@ns1.atrila.net
2982	ansa.it@ns2.ansa.it
2984	inilah.com@ns1.rakyatjaya.com
2985	unity3d.com@ns02.unity3d.com
2990	rakuten-bank.co.jp@www.bxn.ne.jp
3023	planetsuzy.org@ns2.planetsuzy.org
3024	bet-at-home.com@ns3.itandtel.at
3050	donkeymails.com@zn1.lucidityhosting.com
3052	datehookup.com@ns12.zoneedit.com
3071	protothema.gr@ns2.atcom.gr
3091	discuss.com.hk@ns2.discuss.com.hk
3092	centerblog.net@dns2.sd1.fr
3093	state.pa.us@dns4.pa.gov
3097	filelist.ro@ns4.zoneedit.com
3107	goforfiles.com@ns2.goforfiles.com
3115	mob.org@ns3.mob.org
3124	bramjnet.com@ns4.bramjnet.com
3134	lyricsfreak.com@ns1.lyricsmode.com
3139	kurir-info.rs@ns3.providus.rs
3162	nexusmods.com@ns1.nexusmods.com
3167	trainenquiry.com@ns1.net4india.com
3181	sexytube.me@ns2.vid2c.com
3184	crunchyroll.com@ns2.crunchyroll.com
3210	loxblog.com@ns.loxblog.com
3215	giantsextube.com@ns1.hugebootytube.com
3224	blogdetik.com@ns1.detik.net.id
3246	liputan6.com@ns2.suryacitra.com
3270	yengo.com@ns1.flexum.ru
3280	blogutils.net@ns1.nextdns.org
3297	hjenglish.com@ns1.hjdns.net
3357	afimet.com@ns2.vernet.lv
3359	mywebgrocer.com@ns1.teljet.com
3370	whois.net@glb-ns3.it.verio.net
3373	taikang.com@pns.taikang.com
3398	autozone.com@ns2.autozone.com
3415	3file.info@ns1.3file.info
3429	rtl2.de@ns1.cc-net.de
3437	psychologytoday.com@ns1.psychologytoday.com
3440	maybeporn.com@ns1.maybeporn.com
3442	showup.tv@fns1.42.pl
3460	shueisha.co.jp@ns3.hitotsubashi.org
3466	poco.cn@ns4.pocosite.com
3473	calameo.com@ns10.wcentric.com
3478	wikibooks.org@ns1.wikimedia.org
3523	jxedt.com@ns5002.01isp.net
3534	wikiquote.org@ns0.wikimedia.org
3554	newsbeast.gr@dns2.papaki.gr
3571	gocomics.com@dns03.uclick.com
3573	hotnewhiphop.com@dns3.blulinx.com
3582	jobomas.com@t1.zoneedit.com
3583	sport-fm.gr@ns1.internet.gr
3585	iqoo.me@nsc2.80code.com
3590	fetishok.com@ns2.fetishok.com
3591	torrentreactor.net@ns1.torrentreactor.net
3629	kolesa.kz@ns2.kolesa.kz
3649	fantasy8.com@ns2.vid2c.com
3655	opensubtitles.org@ns1.opensubtitles.org
3664	uwants.com@ns2hk.uwants.com
3667	ice-porn.com@ns2.ice-porn.com
3690	bankia.es@dns.bankia.com
3702	homes.co.jp@homes.homes.co.jp
3707	ruvr.ru@ns2.vor.ru
3711	tvtropes.org@ns8.zoneedit.com
3721	allanalpass.com@ns2.pkdomains.net
3728	playcast.ru@ns.playcast.ru
3732	ntv.ru@s-ost-relay4.ntv-tv.ru
3743	katmirror.com@ns1.katmirror.com
3747	nabble.com@dns4.nabble.com
3802	truthaboutabs.com@ns1.rackco.net
3804	tikona.in@ns2.tikona.in
3822	gismeteo.ua@ns18.gismeteo.ua
3827	coolrom.com@ns2.coolrom.com
3836	incredimail.com@ns2p.incredizone.com
3866	mediotiempo.com@dns3.usvx.net
3876	alianzis.com@ns20.servineo.net
3883	gradeuptube.com@ns1.sersh.com
3902	backlinkwatch.com@ns1.nichewatch.com
3909	jerkhour.com@ns2.jerkhour.com
3923	amarujala.com@ns2.amarujala.com
3948	zoominfo.com@dns3.zoominfo.com
3955	madsextube.com@ns1.tub0.com
3968	xcams.com@ns3.besite.be
3977	erotictube.me@ns2.vid2c.com
3983	lavanguardia.com@dns03.grupogodo.com
3987	lurkmore.to@ns1.rainhost.ru
3994	livemixtapes.com@ns1.isolate.net
4010	buienradar.nl@ns2.sat24.nl
4019	vkrugudruzei.ru@ns0.km.ru
4022	aaa.com@xb.national.aaa.com
4050	dynamicdrive.com@dns2.dynamicdrive.com
4065	ddmap.com@ns1.gsuo.com
4071	streamhunter.eu@ns1.streamhunter.eu
4072	searchya.com@ns2.ringtonemoods.com
4076	blogdohotelurbano.com@db2.hotelurbano.com.br
4085	pho.to@ns1.freedownloadcenter.com
4100	tophotels.ru@ns2.lightsoft.ru
4115	starfall.com@ns0.pancil.net
4116	nicoviewer.net@ns2.tmp.cvh.jp
4122	pcstore.com.tw@dns2.pcstore.com.tw
4138	sweetkiss.me@ns2.vid2c.com
4142	canoe.ca@ns2.canoe.ca
4143	prosport.ro@ns2.apropo.ro
4150	kinkytube.me@ns1.vid2c.com
4171	pubdirecte.com@ns1.mycyberhosting.com
4201	arabnet5.com@ns3.hoststore.info
4231	trovit.it@ns2.trovit.com
4260	efukt.com@ns2.zkonsult.com
4266	freedownloadmanager.org@ns1.softdeluxe.com
4267	portaleducacao.com.br@easydns1.dualtec.com.br
4278	cooks.com@NOC.FOUR.NET
4282	eva.vn@dns3.24h.com.vn
4307	bestporntube.me@ns1.vid2c.com
4309	miibeian.gov.cn@dns2.miibeian.gov.cn
4320	popcash.net@ns12.eapps.com
4325	e-monsite.com@dns1.bewest.com
4330	you-sex-tube.com@ns1.you-sex-tube.com
4372	freepornvideo.me@ns2.vid2c.com
4381	lyricsmode.com@ns1.lyricsmode.com
4383	weather2umbrella.com@ns2.weather2umbrella.com
4402	madmovs.com@ns2.madmovs.com
4413	link-assistant.com@ns2.link-assistant.com
4427	dzone.com@ns1.dzone.com
4428	tharunee.lk@dns2.extentions.net
4429	angrymovs.com@ns2.angrymovs.com
4433	oyunmoyun.com@ns2.oyunmoyun.net
4434	nastymovs.com@ns2.nastymovs.com
4460	damnlol.com@ns1.zkonsult.com
4470	gsm.ir@ns.gsm.ir
4484	enikos.gr@dns1.papaki.gr
4490	beslist.nl@ns2.netlogics.nl
4494	zerofreeporn.com@ns2.zerofreeporn.com
4497	shaw.ca@ns7nocg.shawcable.net
4512	serebii.net@ns3.serebiiforums.com
4519	trklnks.com@ns3.pkdomains.net
4528	fonearena.com@ns2.fonearena.com
4535	livescience.com@ns2.techmedianetwork.com
4544	paltalk.com@ns5.paltalk.com
4575	maxifoot.fr@ns2.maxifoot.net
4579	tsite.jp@ns2.net.ccc.co.jp
4582	freepornsite.me@ns1.vid2c.com
4596	wallpaperswide.com@ns2.wallpaperswide.com
4609	onlinefwd.com@ns2096.ztomy.com
4619	daniweb.com@ns8.zoneedit.com
4624	cyberforum.ru@ns1.cyberguru.ru
4652	pravda.com.ua@mns2.imena.com.ua
4653	enekas.info@ns1.enekas.info
4660	jfranews.com@ns2.unix10.com
4666	vitorrent.org@ns2.vitorrent.org
4673	3rat.com@ns2.amerinoc.com
4698	supersport.com@ns2.dstvo.com
4725	visual.ly@ns2.libyanspider.com
4729	ptt.cc@ns1.ptt.cc
4754	sharesix.com@ns2.sharesix.com
4765	ascii.jp@ns03.dns.asciimw.jp
4770	motortrend.com@ns2.mydnslive.com
4776	forblabla.com@ns2.forblabla.com
4777	siamsport.co.th@ns2.siamsport.co.th
4796	filepost.com@ns2.filepost.com
4797	mobilepriceindia.co.in@ns1.mobilepriceindia.co.in
4810	torrentcrazy.com@dns6.pointhq.com
4827	facemoods.com@ns4.ringtonemoods.com
4843	provincial.com@dns2.provincial.com
4849	bugun.com.tr@frk.netdirekt.com.tr
4854	pronto.com@ns4.pronto.com
4876	creativecommons.org@ns2.creativecommons.org
4884	futbol24.com@dns10.futbol24.com
4891	btemplates.com@ns1.blogstica.com
4898	bloggang.com@ns1.hostpacific.net
4944	diamond.jp@ns2.cent-inc.com
4952	affaire.com@ns2.cyberservices.tv
4982	bongda.com.vn@ns99.vdc2.vn
4988	clips4sale.com@dns1.intermarkproductions.com
4997	greenwichmeantime.com@ns1.secure.net
4998	kashtanka.com@ns1.kashtanka.com
5009	leonardo.it@ns02.triboo.it
5012	profitcentr.com@ns5.upgradehost.ru
5025	climatempo.com.br@ns1.climatempo.com.br
5067	carros.com.br@ns2.icarros.com.br
5085	groupalia.com@ns0.groupalia.com
5086	seochat.com@ns2.developershed.com
5102	baskino.com@ns2.baskino.com
5116	kaban.tv@ns1.kaban.tv
5130	shooter.com.cn@ns3.tomasen.org
5156	tqn.com@nydns1.about.com
5165	recipevideoz.com@ns2.zkonsult.com
5169	miami.com@ns2.nandomedia.com
5175	lifo.gr@dns2.papaki.gr
5187	proxfree.com@ns3.dneasy.net
5216	m7shsh.com@ns1.m7shsh.com
5247	atlas.sk@ns2.atlas-as.sk
5255	nationalinsuranceindia.com@ns1.net4india.com
5263	svd.se@ns1.schibsted.se
5270	sexlog.com.br@ns2.sexlog.com.br
5278	l99.com@dns1.l99.com
5282	0-6.com@ns1.0-6.com
5284	maultalk.com@ns1.maultalk.com
5290	personal.com.ar@gulp.arnet.com.ar
5301	starpulse.com@ns1.starpulse.com
5305	spermyporn.com@ns2.sersh.com
5325	kidshealth.org@ns1b.dbsintl.net
5337	computrabajo.com.mx@tektonic.dgnet.ltd.uk
5366	mobilemoneycode.com@ns1.ecc-server.com
5371	vietgiaitri.com@ns10.zoneedit.com
5372	mydocomo.com@ns1.mopera.net
5383	belluna.jp@ecstds01.belluna.jp
5431	hmv.co.jp@ns2.nameserver.ne.jp
5434	amway.com@gtm1.datatelecomm.net
5438	sokmil.com@ns3.videx.co.jp
5439	gharreh.com@ns2.clipdooni.com
5451	rlslog.net@dns2.pointhq.com
5462	cnyes.com@ldap.cnyes.com
5463	iranjib.ir@ns1.iranjib.ir
5466	idokep.hu@sas.idokep.hu
5471	purepeople.com@dns2.webedia.fr
5487	bj2.me@ns4.dnsexit.com
5493	iefimerida.gr@dns1.papaki.gr
5529	unibytes.com@ns1.wahome.ru
5531	eclipse.org@ns1.granite-networks.com
5537	comunidades.net@dns2.comunidades.net
5552	answerbag.com@dns1.demandmedia.com
5576	appnexus.com@01.auth.ams1.appnexus.net
5603	si.kz@ns1.t0x.net
5612	750g.com@eclipse.enki-tech.com
5615	nation.co.ke@ns2.iafrica.com
5642	oem.com.mx@mex.oem.com.mx
5657	nnn.ru@ns2.flexum.ru
5660	property24.com@spool2.korbitec.com
5666	settrade.com@ns3.settrade.com
5670	qqt38.com@dns2.parkpage.foundationapi.com
5683	offerdeliver.com@ns2.pkdomains.net
5696	translate.ru@ns1.segmenta.ru
5706	rahnama.com@ns1.rahnama.com
5735	komando.com@ns4.komando.com
5743	euviali.com@ns3.nextdns.org
5749	sparkasse.at@ns2.it-austria.net
5765	pagesinxt.com@ns1.cnomy.com
5767	unblog.fr@ns2.unblog.fr
5772	mdr.de@news.uni-leipzig.de
5779	libertaddigital.com@ns4.nova.es
5807	tvrain.ru@ns8.nic.ru
5820	trovit.es@ns2.trovit.com
5840	antaranews.com@ns1.antara.net.id
5844	softportal.com@ns3.yamx.com
5849	soccersuck.com@ns2.guideball.com
5864	tatatele.in@ns2.net4india.com
5889	adscendmedia.com@ns4.ethproxy.com
5908	rarlab.com@ns1.rarlab.com
5912	irancell.ir@ns.isiran.com
5924	porsyar.com@ns2.eleezeh.com
5933	bri.co.id@ns2.bri.co.id
5945	ma-bimbo.com@pics.beemoov.com
5952	sexyswingertube.com@ns2.hugebootytube.com
5953	space.com@ns2.techmedianetwork.com
5954	ogli.org@ns1.nsfreehost.com
5974	aib.ie@gatekeeper.aib.ie
5985	onlinesubmit.in@ns1.net4india.com
6011	airliners.net@dns1.demandmedia.com
6014	societe.com@ns2.societe.com
6015	porntalk.com@ns2.porntalk.com
6018	sibnet.ru@ns.sinor.ru
6022	acces-charme.com@ns.mycyberhosting.com
6024	diytrade.com@ns3.diyworld.com
6039	voyeurweb.com@ns11.voynetworks.com
6048	ie92.ir@ns1.ie92.ir
6063	avvo.com@dns1.avvo.com
6075	flashkhor.com@ns1.flashkhor.com
6098	mathsisfun.com@ns1.studymain.com
6100	sovsport.ru@ftp.sovietsport.ru
6115	unblockyoutube.co.uk@ns3.dneasy.net
6124	rexxx.com@serv1.rexxx.com
6129	fucktubeclub.com@ns2.excellentporntube.com
6161	babyhome.com.tw@bb6.babyhome.com.tw
6173	eldorado.ru@dec.sovintel.ru
6177	dha.com.tr@hurdns01.hurriyet.com.tr
6196	general-files.com@ns2.general-files.com
6223	trovit.com@ns1.trovit.com
6233	pantipmarket.com@ns1.hostpacific.net
6236	kerala.gov.in@ns2.cdit.org
6243	esprit-online-shop.com@spog.gaertner.de
6264	amulyam.in@ns2.net4india.com
6265	mxtoolbox.com@ns1.mxtoolbox.com
6269	his-j.com@dns1.his.ne.jp
6297	adworkmedia.com@ns1.adworkmedia.com
6306	telegraf.rs@ns.bg2.ha.rs
6320	giveawayoftheday.com@ns3.softdeluxe.com
6328	dailycooking.com@ns2.zkonsult.com
6354	freecharge.in@ns2.net4india.com
6358	d.cn@ns2.d.cn
6360	clien.net@ns.clien.net
6366	minglebox.com@ns1.minglebox.com
6374	melateiran.com@ns1.melateiran.com
6412	dirtyamateurtube.com@ns1.hugebootytube.com
6417	naukrigulf.com@ns1.dn.net
6490	fatburningfurnace.com@ns2.fatburningfurnace.com
6494	free-press-release.com@ns2.downloadatoz.com
6495	filmstarts.de@wns1.allocine.fr
6497	majorgeeks.com@ns1.majorgeeks.com
6498	glamsham.com@ns8.indialinks.com
6510	interfax.ru@ns2.interfax.ru
6529	rookee.ru@ns2.ingate.ru
6581	skapiec.pl@fns1.42.pl
6626	hashemirafsanjani.ir@ns1.hashemirafsanjani.ir
6635	591.com.tw@ns3.addcn.com
6640	colourlovers.com@ns4.bitpusher.com
6653	pearsoncmg.com@ns03.pearsoncmg.com
6695	pravda.ru@ns2.pravda.ru
6745	putariabrasileira.com@ns.nexylan.net
6759	svpressa.ru@ns.rax.ru
6761	radical-foto.ru@nameserver.radikal.ru
6790	podnapisi.net@prior.stargate.si
6832	baseball-reference.com@ns2.tummy.com
6846	planet.fr@ns2.planet.fr
6853	anandabazar.com@ns1.net4india.com
6868	projectfree.tv@ns.projectfree.tv
6876	citehr.com@ns1.cite.co
6888	kindporn.com@ns1.kindporn.com
6900	518.com.tw@ns1.addcn.com
6910	bankpasargad.com@ns3.zoneedit.com
6914	gyakorikerdesek.hu@ns1.gyakorikerdesek.hu
6920	preloved.co.uk@ns0.gradwell.com
6922	utusan.com.my@umntsvr01.utusan.com.my
6965	kulichki.net@ns.filesearch.ru
6969	iitv.info@fns1.42.pl
6977	mediaite.com@dns3.soundst.com
6983	tianjinwe.com@ns2.tianjindaily.com.cn
7009	aprocura.com.br@ns2.nextdns.org
7011	nsdl.co.in@ns2.netcore.co.in
7023	adorocinema.com@wns1.adorocinema.com
7030	yyv.co@ns3.pkdomains.net
7031	ymlp.com@ns4.ymlp.com
7037	livemook.com@ns1.edong.com
7043	antena3.ro@nsa.antena3.ro
7047	laban.vn@ns3.vng.vn
7064	poyopara.com@nsc2.80code.com
7085	99lr.com@ns2.sedoparking.com
7087	dragonfable.com@ns0.battleon.com
7103	enom.com@dns11.enom.com
7113	iwebtool.com@ns2.iwebtool.com
7128	k12.fl.us@ns2.cl.bellsouth.net
7135	megaindex.ru@ns1.altweb.ru
7144	hikaritube.com@nsc2.80code.com
7146	devshed.com@ns1.developershed.com
7209	cbox.ws@ns2.cbox.ws
7213	berlin.de@x.ns.berlinonline.de
7215	unblock-proxy.net@ns3.dneasy.net
7216	6rb.com@ns1.arbclip.com
7236	lavenir.net@ns.nscluster.be
7260	wikisource.org@ns0.wikimedia.org
7270	tubejuggs.com@ns2.hugebootytube.com
7312	shiftdelete.net@ns2.shiftdelete.net
7331	hardware.fr@ns0.x1.fr
7334	ecrater.com@t2.zoneedit.com
7336	pep.com.cn@dns.pep.com.cn
7341	postjung.com@ns1.postjung.com
7345	prav.tv@ns2.witnessbros.com
7350	readnovel.com@ns2.readnovel.com
7391	neowin.net@ns2.neowin.net
7396	winspinwin.net@ns1.adservr21.com
7404	sacbee.com@ns2.nandomedia.com
7416	localslutsfinder.com@dns3.mtgsy.com
7423	mypearson.com@ns2.pearson.com
7453	ferronetwork.com@ns2.nsferro.com
7467	poznan.pl@dns.info.com.pl
7478	morodora.com@nsc2.80code.com
7492	post-gazette.com@dns3.post-gazette.com
7494	hotline.ua@ns.elvisti.kiev.ua
7497	torontosun.com@dns2.videotron.net
7501	pubarticles.com@ns1.downloadatoz.com
7506	laprensa.com.ni@ns.enitel.net.ni
7528	video.az@ns2.video.az
7560	gofuckbiz.com@ns2.gofuckbiz.com
7562	pog.com@ns2.y8.com
7577	vrisko.gr@ns2.atcom.gr
7578	pingler.com@ns5.pingler.com
7582	suddenlink.net@ns2.suddenlink.net
7626	thetimenow.com@ns2.reagi.com
7647	share-links.biz@n5.xlice.net
7649	netcoc.com@ns1.net8888.net
7670	goobike.com@dns2.proto-g.co.jp
7708	businessweekly.com.tw@dns.businessweekly.com.tw
7731	share-online.biz@n2.xlice.net
7732	renxo.com@alf.renxo.com
7771	nelly.com@ns-2.cdon.com
7790	xsrv.jp@ns1.xserver.jp
7806	vz.ru@ns2.goodoo.ru
7819	yninfo.com@dns1.ynvhost.com
7827	101.ru@ns1.avtoradio.ru
7828	custojusto.pt@ns1.custojusto.pt
7833	payscale.com@ns1.zoneedit.com
7847	mos.ru@ns2.dataforce.net
7861	prisjakt.nu@ns3.prisjakt.nu
7879	learn4good.com@ns1.learn4good.com
7896	miitbeian.gov.cn@dns2.miitbeian.gov.cn
7927	beon.ru@ns2.qaix.com
7944	vtc.vn@dns2.vtc.vn
7953	datingarea.eu@ns2.cyberservices.tv
7971	fudan.edu.cn@ns.fudan.edu.cn
7975	stcn.com@ns2.stcn.com
7976	superfb.com@ns1.maksimum.net
8014	mp3slash.net@ns2.softhostin.com
8017	24smi.org@ns2.24smi.org
8023	xmbs.jp@ns1.nng.jp
8034	klicktel.de@ns2.klicktel-dns.de
8054	matichon.co.th@ns1.matichon.net
8061	real.gr@ns1.internet.gr
8093	bigpicture.ru@ns1.bigpicture.ru
8099	sooperarticles.com@ns1.isolution.org
8107	121ware.com@name2.121ware.com
8111	computrabajo.com.co@tektonic.dgnet.ltd.uk
8115	checkpagerank.net@beta.freehost.com.ua
8119	ciao.de@dns.progtech.net
8122	get-tune.net@ns2.get-tune.net
8135	javascriptkit.com@ns2.javascriptkit.com
8140	wawa-mania.ec@ns1.wawa-mania.ec
8144	tlife.gr@ns2.atcom.gr
8151	tfilm.tv@ns1.tfilm.tv
8167	devhub.com@ns2.devhub.com
8193	trovit.com.mx@ns2.trovit.com
8200	eweb4.com@ns3.zoneedit.com
8206	rtnn.net@ns2.heartinternet.co.uk
8216	infoescola.com@ns1.hivelocity.net
8219	onvasortir.com@ns1.onvasortir.com
8232	steadyhealth.com@ns2.steadyhealth.com
8238	tvrage.com@ns4.zoneedit.com
8256	extremeforbiddentube.com@ns2.amerinoc.com
8274	kathimerini.gr@ns1.internet.gr
8276	namejet.com@dns2.namejet.com
8289	sahafah.net@ns1.yemal.com
8290	any.gs@ns2.pkdomains.net
8306	deichmann.com@ns2.arcor-ip.de
8308	downloadatoz.com@ns1.downloadatoz.com
8318	femina.hu@ns2.webtar.hu
8371	hypovereinsbank.de@dns3.gruppocredit.it
8374	tamilo.com@ns2.tamilo.com
8377	xxxymovies.com@ns1.bengosul.com
8386	ebc.com.br@ns1.radiobras.gov.br
8417	tokyodisneyresort.co.jp@ns1.agilit-hosting.com
8420	gog.com@dns-wan.ofc.gog.com
8421	myscore.ru@ns2.edrive-hosting.cz
8440	top-blog.su@ns2.blogshost.net
8443	freemeteo.com@ns2.atcom.gr
8457	mob.ua@ns1.mob.ua
8459	amateurcommunity.com@ns2.ipbroadcast.nl
8460	etuan.co.za@ns4.zoneedit.com
8469	gomaji.com@ns2.gomaji.com.tw
8491	rtl.fr@ns.rtlnet.fr
8495	rlsbb.com@dns4.pointhq.com
8512	thatguywiththeglasses.com@ns1.thatguywiththeglasses.com
8516	minhavida.com.br@nsusa1.minhavida.com.br
8532	shooshtime.com@ns1.zkonsult.com
8539	download.com.vn@ns2.vdconline.vn
8544	stafaband.info@ns1.stafaband.info
8562	dreammail.jp@dns1.spireinc.jp
8615	ojooo.com@ns2.server7757.net
